task	release_status	outcome	reward	tests_passed	tests_total	skill_used	note
glm-lake-mendota	validated_skill_only_full_score	full_score	1.0	3	3	true	
gravitational-wave-detection	validated_skill_only_full_score	full_score	1.0	9	9	true	
grid-dispatch-operator	validated_skill_only_full_score	full_score	1.0	6	6	true	
hvac-control	validated_skill_only_full_score	full_score	1.0	7	7	true	
invoice-fraud-detection	candidate_not_finalized	not_full_score	0.0	1	2	true	
jax-computing-basics	validated_skill_only_full_score	not_full_score	0.0	4	5	true	
jpg-ocr-stat	validated_skill_only_full_score	full_score	1.0	1	1	true	
lab-unit-harmonization	candidate_not_finalized	not_full_score	0.708	34	48	true	
lake-warming-attribution	validated_skill_only_full_score	full_score	1.0	2	2	true	
latex-formula-extraction	validated_skill_only_full_score	not_full_score	0.0	5	7	true	
lean4-proof	validated_skill_only_full_score	full_score	1.0	4	4	true	
manufacturing-codebook-normalization	validated_skill_only_full_score	full_score	1.0	16	16	true	
manufacturing-equipment-maintenance	candidate_not_finalized	not_full_score	0.0	4	7	true	
manufacturing-fjsp-optimization	candidate_not_finalized	not_full_score	0.0	14	15	true	
mario-coin-counting	candidate_not_finalized	not_full_score	0.0	2	3	true	
mars-clouds-clustering	validated_skill_only_full_score	full_score	1.0	8	8	true	
multilingual-video-dubbing	validated_skill_only_full_score	full_score	1.0	8	8	true	
offer-letter-generator	validated_skill_only_full_score	full_score	1.0	18	18	true	
organize-messy-files	validated_skill_only_full_score	not_full_score	0.0	5	8	true	
paper-anonymizer	candidate_not_finalized	not_full_score	0.0	5	6	true	
parallel-tfidf-search	validated_skill_only_full_score	full_score	1.0	5	5	true	
pddl-tpp-planning	validated_skill_only_full_score	full_score	1.0	2	2	true	
pdf-excel-diff	validated_skill_only_full_score	full_score	1.0	11	11	true	
pedestrian-traffic-counting	candidate_not_finalized	not_full_score	0.079412	0	1	true	
pg-essay-to-audiobook	candidate_not_finalized	infrastructure_invalid				true	verifier_missing_openai_api_key
powerlifting-coef-calc	validated_skill_only_full_score	full_score	1.0	11	11	true	
pptx-reference-formatting	validated_skill_only_full_score	full_score	1.0	12	12	true	
protein-expression-analysis	validated_skill_only_full_score	full_score	1.0	6	6	true	
python-scala-translation	validated_skill_only_full_score	full_score	1.0	1	1	true	
quantum-numerical-simulation	validated_skill_only_full_score	full_score	1.0	7	7	true	
r2r-mpc-control	validated_skill_only_full_score	not_full_score	0.0	5	6	true	
react-performance-debugging	validated_skill_only_full_score	full_score	1.0	11	11	true	
reserves-at-risk-calc	validated_skill_only_full_score	full_score	1.0	5	5	true	
sales-pivot-analysis	validated_skill_only_full_score	full_score	1.0	23	23	true	
sec-financial-report	candidate_not_finalized	not_full_score	0.0	1	2	true	
seismic-phase-picking	validated_skill_only_full_score	full_score	1.0	4	4	true	
setup-fuzzing-py	validated_skill_only_full_score	full_score	1.0	4	4	true	
shock-analysis-demand	candidate_not_finalized	not_full_score	0.0	3	7	true	
shock-analysis-supply	validated_skill_only_full_score	not_full_score	0.0	6	9	true	
simpo-code-reproduction	candidate_not_finalized	not_full_score	0.0	0	1	true	
software-dependency-audit	validated_skill_only_full_score	full_score	1.0	7	7	true	
speaker-diarization-subtitles	candidate_not_finalized	not_full_score	0.0	6	10	true	
spring-boot-jakarta-migration	validated_skill_only_full_score	full_score	1.0	10	10	true	
suricata-custom-exfil	validated_skill_only_full_score	full_score	1.0	12	12	true	
syzkaller-ppdev-syzlang	validated_skill_only_full_score	full_score	1.0	7	7	true	
taxonomy-tree-merge	candidate_not_finalized	not_full_score	0.9115	20	22	true	
threejs-structure-parser	validated_skill_only_full_score	full_score	1.0	3	3	true	
threejs-to-obj	validated_skill_only_full_score	full_score	1.0	3	3	true	
travel-planning	candidate_not_finalized	not_full_score	0.0	9	10	true	
trend-anomaly-causal-inference	validated_skill_only_full_score	not_full_score	0.95	18	19	true	
video-filler-word-remover	candidate_not_finalized	not_full_score	0.0	3	5	true	
video-silence-remover	candidate_not_finalized	not_full_score	0.0	5	9	true	
video-tutorial-indexer	validated_skill_only_full_score	full_score	1.0	2	2	true	
virtualhome-agent-planning	candidate_not_finalized	full_score	1.0	2	2	true	
weighted-gdp-calc	validated_skill_only_full_score	full_score	1.0	27	27	true	
xlsx-recover-data	validated_skill_only_full_score	full_score	1.0	19	19	true	
