task	release_status	reward	tests_passed	tests_skipped	tests_total	condition	background_documents_available	clean_lineage	oracle_agent	model	evidence_sha256	release_skill_tree_sha256	release_background_doc_tree_sha256
econ-detrending-correlation	validated_skill_only_full_score	1.0	4	0	4	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	8d1acdbd32c93bf3f3424a413c3d3ae11b3c516eff16b71824182ed35467fb19	58dd3bd3ba78dcd39259fa72057f01f8049581fec298c1035498924240ac3130	0c828d6467ffd279c4d392123e9dfbd01124ca78506f8a54aa458cc2a640f1b6
energy-ac-optimal-power-flow	validated_skill_only_full_score	1.0	23	1	24	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	be8bd339dae8a33521429253c8a998c2e01b20365ea26d9d83d46fae479695dc	23cd82946ca06eb1ca1b883d0382f6976663181f27dfd7fa363240ea5fd11c8c	9c67604a820d88afd5a6fadfb3f4b79d7abd4c24ae33f0bbee8e39132e733a57
energy-market-pricing	validated_skill_only_full_score	1.0	4	0	4	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	b34aeafcbd8e2d4fbc5803b8587a5914a2bc5be068330c0619d06cd9d60b369b	7be69d733485d6ab4e6c2730f985104f6abf6817927336bd80206875c64a1685	2704b74c0b95882365ff38ce7ae3dfb68456e2c7300094d4ec2f7ce64d13429e
exceltable-in-ppt	validated_skill_only_full_score	1.0	8	0	8	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	aab2e36b4f6f264cc4cb5fd56706772385c5a87d9ad3dd9a221aa5b99e65b8e4	8189fb660305999fab5880fa0495a5140b7b2a19c2da5e5ae0dccb2f2e7b99d7	8e491acaa3716a20ef5f02b0a073d0b20ae9b60792a48598fb7018412535a254
exoplanet-detection-period	validated_skill_only_full_score	1.0	4	0	4	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	ad2c6d1f7907a0246c9ac258eee74b4949fc168652555d3037314a669bb7735d	51d8a79592b3971b876c117744e68fde89a45d5ce85036018de71027c3e8bfc0	f05b2e3a3f45d0585960a1931128495685b0dc6c553ad0fd94f5b985bbd8e229
find-topk-similiar-chemicals	validated_skill_only_full_score	1.0	1	0	1	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	5717e7c840171019a4eeab5b79a7f894a4986eaff93d04ec5b12c9a189f594bf	1a9d458796d396c3725e4d0d5b7548cbceb71b3426df7cc2ef40248e764c8b88	3904a573f2b5b83fb785caac34febf9e31ad8bc1e36c71ebedb99354f6560273
fix-build-agentops	validated_skill_only_full_score	1.0	3	0	3	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	d33a78650a7064c7fc030c4a85d7b5c5dc6a446fc9c1f4fa723f72763abf2dce	59ee07d08e14f061b0fe0eba0cb5f7c8ec36962c983d2b5ec6a2843ce219ab14	d67858a785481feb6a3bb60d73160fdab87ba06d5dc93f85386a1a3c0e07fb7b
fix-visual-stability	validated_skill_only_full_score	1.0	6	0	6	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	5becadbe2ed9b7e27ba450b90ea4a6884f3577fca01e4c541a945719ae7435e4	fbba8a0d034275d071cece0803cf60bd07abcb036f00b4ce808fe11a77dfe9d5	198fc554b0449f2e20e876bb3c040b8289948484e73a040fc4a42648fe8738f1
flink-query	validated_skill_only_full_score	1.0	3	0	3	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	0739409b29e174a6767993d6da56c99cede26ff42b14a9b1cfbbde4e0f94c14a	2084f1ec9fd1fa460b1b5b39a679ebaf6c431378edbe464afd5c0d386bd5931a	cf1f6dcbeedeeccb67414732f32f0daad2922d0113fe6fc012b8a14cac9c059e
flood-risk-analysis	validated_skill_only_full_score	1.0	2	0	2	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	a1a7de15e54b7147a74c104fa0f3c2ab76626784ad98b1a95627772d86518b33	3d02f0f19fbc2ef84eb5fe065b2719053e1055efeb7647612c79ccc933be68ca	9267d37a586aefe23b88fbaacb2031aa29ff3038be9f8bd0a8b7f279b1de4f47
gh-repo-analytics	validated_skill_only_full_score	1.0	8	0	8	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	a9b3069b10b4b3c0ed15083ba32bd971337f81f58c3489021f3889e12d0fa683	afe0db1478a1f3ef1f7690ed822477121c259f69804f74d7701c1ea06f4bb094	3229d61a32e3fcda1d32cae3438faaf942280bd161fa9ec178e024d6614b6e7f
glm-lake-mendota	validated_skill_only_full_score	1.0	1	0	1	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865	66973ea2fab58e19d37b7bf408915c60efb790275459529509b2cca67c21918e	83efd062bc8ac9e7ab662af581d7aa47dd816f04668f7b2323fe1e0131d113b8
gravitational-wave-detection	validated_skill_only_full_score	1.0	9	0	9	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	907ec69b7d84122e79dd34bfc38e3c65ebb95f5cbbe03413c271b9107c3f9743	4edcac212f88ab44cca186f529a49285643b5fc337ded08e49945d5c9fbf287c	dffd49e9916a25ae024c656bde95f69dda091f6b9f012581ea25875547dc0525
grid-dispatch-operator	validated_skill_only_full_score	1.0	6	0	6	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	dff7956e068b12f46831d3f7b919ddee7d8396236502a6927c675ef762e78a30	e258c36a21f6a367bcdf4ebe95f85342045a0a7f2b0aac74bc58f36a0a31d7ad	7facc7abb34945e60c82391305a7bf52a83975598c0024850cb247cd3673e72e
hvac-control	validated_skill_only_full_score	1.0	7	0	7	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	a292fa0480f236d0acf4c0d26ad37ed76c15f586b587f33d81589d279e636d6d	78f8b267dc1611382cf046aa37fa207f90b200cdd139876f555d10d862f59de4	c6d07f5f1a3ec3fb1cf96cb17632189aae3bbcf2ade23b32fc9ac612641fd962
jax-computing-basics	validated_skill_only_full_score	1.0	5	0	5	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	298fa116b1977ecd7cae2eb5625baff722d58bc49cc67be044ad75346fef0bc4	2fd00b781bc2499fc77b9b9990534381f5c13812765ad500c5febff725155d40	0af5f7655d03a674cbfc11505f445f812df1edce89b38db98788b53402558611
jpg-ocr-stat	validated_skill_only_full_score	1.0	1	0	1	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	9c979cef63bd5cad956d738ded310dd7642678238e134c1ee3ebaec4ccf50197	092bf2c0b1c25faba4cef42309b0b07f81a5f1150443b856dd8eb9fe0d897d72	05ccc4def474425bfba92b0a42ec566192e0cf94d79f7a8a1d2731ead5e7166f
lake-warming-attribution	validated_skill_only_full_score	1.0	2	0	2	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	a651f71a028e505a8901f9922d65df2c93bf6475261b1ffc9876b7f916b89676	76ea0897c44342e275780fd2ed8c1cc40ede5a7d043f1caa3be36f6249b4d21c	a141afb22ad87e296253b457c3cc2c5323737312b26fdf56ea2450842f883558
latex-formula-extraction	validated_skill_only_full_score	1.0	7	0	7	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	5c9cc6bd0b590e30e4e8ceca7328f7d2566a80acf86591f3cae4f8ea30a80cb7	a4c7566b0aa22cf89e9e84078b1651e1667cc9072bbf991b75af750d85c91005	b818a5173c24b6ff478a4d294f47df6807ee0900302d2d1f3ac1b58651839195
lean4-proof	validated_skill_only_full_score	1.0	4	0	4	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	0f8784c6dd28fe2ce9eaf49a2e7aab34d29755453897acd19e98392a0821e9d3	1819bfdec36d3dbc986aa394fc41958290d1e4a63def15228764600fabd0c4fe	e253fcc1d71f229a422a46947b08ab84a1398ba6257d5f7ae05216bf1e3ca8b5
manufacturing-codebook-normalization	validated_skill_only_full_score	1.0	16	0	16	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	2b7b537da07e721f133477fb1364b7de77f366838d20d116e5e0b871d752b63a	6ebd173e619fc35bbd5a987afaa31f47a0715fc9f78ed09cfef518893bb5239d	7a36e18cdbc4b22a643705d804a8f11c5a506e41f90cc899b87b88f4fd3a1a8c
mario-coin-counting	validated_skill_only_full_score	1.0	3	0	3	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	c93df0695dda5b888ee95a632fd717dafdd2b3cdeb931f358a70cdb4310b45e9	92c8e2407ed7c4da57654bda780ab33542f84085e580ec3bdfa9930eb7b92b0f	51c02d48caa1003ac4d2d69395a0f5b7615de1baf10ff74e7149aeb6c40e0997
mars-clouds-clustering	validated_skill_only_full_score	1.0	8	0	8	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	bd28bc99347a1d18ded09b2082b2721aeee9cd5b96fa3fc38d6bc70607ba2ad8	b5ac655a8bb0b3f6cf8c13dcd2fba7355c5478bf399de113cfdd3ebf10fa7856	2a4ce38fd00f5eeaf194f4d685e292ac4d12847ef233836472775fe269e1d913
multilingual-video-dubbing	validated_skill_only_full_score	1.0	8	0	8	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	ba86f1bdcbb5aff87a75d0b643033b6d16b5a4ac7ea22c492393786d42b45877	842e0299cb4cb4baa26a4d4b0dcf3d3ab4669521403e19f358f6dea1363e893a	b8667ba70f4b9c8bca64e843344391cd9987ce2924ee31a133c2e9989efb404f
offer-letter-generator	validated_skill_only_full_score	1.0	4	0	4	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	52db10174d99719c062374b20f0d64eca08a71d4bd7579ca8558d873ed3f933c	41a2dc83e7e2d8e810e4d53dd93ddd0fb0a691153860737143d3e2a2db3c3519	04d31b388ced6b3624fe52a3e084aa0b0f7ed067254551996448c8391e9d8722
organize-messy-files	validated_skill_only_full_score	1.0	6	0	6	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	c4f83f78c6a02baa0a4bb6825ad958793d58194be857803b4c4c11588fb1e0fa	2ed72b6e0bb16ec59b746bc0d999071622bc3e0452b47ef64ceb1c5b866c1deb	c241375ad07c7ca30c46630622743d0c0bb0e3d437ca27cfc4ba2c3303511a88
parallel-tfidf-search	validated_skill_only_full_score	1.0	5	0	5	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	251f01505b0a2f029e0e7808c04536cfbdaaf7364b174867271125dc5edf453b	3983d9eac7f2c48d13511b225b0c1781f87a8fd8f9696f91ff5bb2e134c74f13	f8ed62d82d5b4002822b454272e3c44c8d5b4aaac020734daa6b508445a4c474
pddl-tpp-planning	validated_skill_only_full_score	1.0	2	0	2	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	a708f70db19c788503ec7cbc2f4811855ba9ef7c4cb4d538dcf3d3479136c54f	192e8aa8abcf59e7b10798d0a9640870526756a9daf01ad458aa64770e5b54a2	6503b3b57a614d3275373784048beb6de5093688d6dcd8362e2866c75cef2bac
pdf-excel-diff	validated_skill_only_full_score	1.0	11	0	11	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	30fdd65cab9785f146208e8fd759f3e49f9bd3d711a80dbcb7051d523e5e0aa1	57bb49dff3ea61d33f79333d822050a6227b8abcf00a8763b628d3107eac6990	5fa60416926cc1cea1246ca162668cfb46a93e5687b49baf266261806d0fe12a
powerlifting-coef-calc	validated_skill_only_full_score	1.0	11	0	11	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	a9202077ad0b2916314441ddc1e0d495bd8e06ccce0c83aa08e227cd80825105	a960f0db397e1ab890018653dbb50aa58e8ecc116b0e7a3107c5b62b5e29736a	826c4e10fc2acc922e4031d6789f1eb9100b58c14cdbb581f4cff72d4dbe68c8
pptx-reference-formatting	validated_skill_only_full_score	1.0	12	0	12	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	52a9be001f2b4a8b3ec5c6b730cf1802067da8ced6018c50f114c82e08da45aa	5c78ae227ab55076e66539b91e8090cd6787c3573385a1f03c54d2e33523657a	23dde393383784602e15015cddba06019f06eebb1ce5d292b5ae16ab1d956405
protein-expression-analysis	validated_skill_only_full_score	1.0	1	0	1	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865	edfde1abfb667b5a8606bf93f8aa1f27997851ea954c463c316ef0db78e0af13	4a919c227bf54f278ef56204ac8f1b3b59f63ebe726b0fc290653ef1505e3d31
quantum-numerical-simulation	validated_skill_only_full_score	1.0	7	0	7	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	627bbc3fe4567726bcc6a09c903b4e65e55dae37768701cf2ca8ee1f60861cb4	1b4362d2df91613e0c3e0ab9c09bd54db6462fa3e085581c1092bb3a747e4668	cd2672ff053f568c36a051f2b8aacbe278f4926f155b6dffb65193a4d00d6a8f
r2r-mpc-control	validated_skill_only_full_score	1.0	6	0	6	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	71dea5d7407ceffc625a0c9198faede7803c0c433c9626df820f2d36652e58ca	33ae177486ccaf64eaaec4c67c6842652ed0a30d28d8e31ecfb503ff73591e45	5ad94b94dea21513b14cc2132c89fac16b445b4bf5fb021cee1fb638cc877ccc
react-performance-debugging	validated_skill_only_full_score	1.0	11	0	11	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865	4d079b56a6795d11b56d9bd02b198d648dd69ed9a0af15f7379c8ca0b52756aa	0a7597f20bb71bd9bcfb39f38f31458eeaeedba21f9c87fad01cd98ca4dbf278
reserves-at-risk-calc	validated_skill_only_full_score	1.0	5	0	5	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	e828c8e99e974909527cdb8606bfe413e54c9e80c9836a9aa3996bf8704179d1	faa0db04f822cefde801dbb1319038982b71c4128958ab223e78d4d58930081c	4431f9a3e5066c53016c62a0c0f048257586f4c6209f51bea1847d6566c837e2
sales-pivot-analysis	validated_skill_only_full_score	1.0	9	1	10	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	5a51fe07dc1d03e3049d442a9155074ef867c872b131eea8acf13a58e243538a	1444c78a09830b535899ad26d5b7efa9f25ac6ea6579d488988f69533c2368e4	b01aa23e4062ece7446caa1e0fd792b03a1896d6d180d8820f55dd6de4ed7a29
seismic-phase-picking	validated_skill_only_full_score	1.0	2	0	2	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	892bcb696512958ad7b109e04a66d8c8321a11cabfc55e6f79c54a8bd72eaa91	8c2d30d83880f20d533b962bd941a844f04c4f2cf072129241515f7f9f15562d	ef8495fdcc3ab8f13ca665dcd4b8ad217abaa2acc0e43c213fa334bfebe886eb
setup-fuzzing-py	validated_skill_only_full_score	1.0	2	0	2	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	cdf59faeff30ce0b74f1c9366a45d33ae344d18650c8556543fa0a98b4170c2c	ca25b62abb915ce85dceb7234e8bcaf25da69343b03af64200bd714998d628f5	d300a81facd8f13f04f4805bd80338819cf5ea844d13ba0c0076253739211625
shock-analysis-supply	validated_skill_only_full_score	1.0	9	0	9	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	1e7184fcf2255d96eb1d0855e4659a0c36035e4644bee0ffe72a8292a3f618e2	28f28348bb6e1c98b9933421fe6fb1d8b45b5df0208ba027bcf46d1c29bf0bff	98ed0cd55bc2dca5eb1ce12904b340ff4003a67b69189e85b7368b889a248189
simpo-code-reproduction	validated_skill_only_full_score	1.0	1	0	1	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	bba314dc51962c73408e1505698dd9ee8e5b3ecf0b4e4b8c973aa6b9bfcb0c8e	b8b0f833753e9c893bed63b7f2bc88547953d92e0b4badd6e15f24e2d08f7a66	cb2bb0d560afef11631fb1f1f5a78823128b4e54f2c5d7659a8c3f398df69432
software-dependency-audit	validated_skill_only_full_score	1.0	4	0	4	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	138a56dfab30692e320f2f8f002ba5e9f0acb51ae72937519cda883837d81aad	4a642c8a6f4e6dfbf7047f9fc06ce1b4310891bf94fc11040a3bc12f696d974f	8d3997bbb75aa19639f2debd74baa34c36b2076c6c8df991ea52b7d43c63a651
spring-boot-jakarta-migration	validated_skill_only_full_score	1.0	10	0	10	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	fa50732b2b42b9b48de4b666ab5e576fc8db58a1a4d060a4d82219e8623dc78b	43eb7e92227294df88cb3f2ddb85467e0da35c503e8f548e4adc15e1ee5fb782	321f3745efbc8fbeaa4d5dac1d025c724abede39ac2a19838c55a6f5276ef6bd
suricata-custom-exfil	validated_skill_only_full_score	1.0	1	0	1	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865	ca471c0cbbf816531d52df12886ba19de73c7cd750365219c18535f7632f901b	d1d3c5d8e7fb7bf4e3dfce8e6e19ddd07260b854d55172be669e46d9aa20a9d5
syzkaller-ppdev-syzlang	validated_skill_only_full_score	1.0	7	0	7	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	a6fb096df430d140b0c2a6258366f7a060c98ad7ae55edac6c63c83e87d10680	6e3ea7926e52770670f6dd5c21f7407b69126c475189345f5ad31ab9d9170ed5	eb9a85a994e5fcce01212fa34a06ae6660409012bd6058cd660aa52da06173e6
threejs-structure-parser	validated_skill_only_full_score	1.0	3	0	3	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	dcf669019c24f4901c697274af7908c8a31ce016b2048ed8cb5dbd151d317f97	fd0315bcd6b79ee0439d1606329b73962e19b9fedcb973ebda36a08f3abf2100	620a22c1026d1c9362384ad441d4a89d8fd5cecdb3cf4768d29d0bd52a39bc4f
threejs-to-obj	validated_skill_only_full_score	1.0	3	0	3	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	db41c48ab5c480e0fa9ac314e160bff8cf478bc0b5a74359d97b2347f54576a2	aefc8d274c920e3ff2a7dc3e9f70208cb398a9e234c67a2d420c7c8664405c94	f9b83367dbf9492145d7fdfc4bbe3616eda57596077c039fea057297c2ae613c
trend-anomaly-causal-inference	validated_skill_only_full_score	1.0	15	0	15	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	6f505ffd1b98f7adfe220f41f48eb004f0ad7f44f3ba64dda73c2660eeb99bf8	0581c89b01af4af3f277abdde6fc6324a4b166f79372098e2e43c7e15ac5e4cf	c5f51e9ceef47cfe83458eaec3ebad8a19ad9509d71db48e1bbe9883e0e69d2f
video-tutorial-indexer	validated_skill_only_full_score	1.0	2	0	2	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	7356ec8c7f29f610b64b105ce15f58fbb8378e494f29dba8d74e50880604a91a	953d0e905566a899f7661684b428bb4b3a40d9583b34cf122bfda6de08585ff9	0492db168b1dd9b64564445c50b0ff3794d630e9efcf8220e9e92c5a1392b3d0
virtualhome-agent-planning	validated_skill_only_full_score	1.0	2	0	2	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	6311a6563304a7f7dfc8bc158d05220c83453f86237ff98c00d4eaf9b2aa2e3b	1ae63f5ebfa54306bcdb901a57bacbe5742f42aa16a1fd653044b2531c67d0d8	48ea0423f75a929acd2a73cd29e9ee21b91a88c7e3b9b55537470cc60dfb97dc
weighted-gdp-calc	validated_skill_only_full_score	1.0	27	0	27	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	d63a39ac21479b57c64e9ac269d0d0b305e9ec1274ccbf388babb49b2efb0a5a	2188401ec9ec840ce308ca05e192e876a87e8d475a5f7137c5f46377e2990d7f	c5b9b083baef5474b2781c15ccbf1eeed6a30537dadcffb3491db01a72bdb1e8
xlsx-recover-data	validated_skill_only_full_score	1.0	8	0	8	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	13a62240644cd03b44e556261ef552208bd6b4021e96b8f067dbd15757015030	3a0dfa0616c1a5e5d4861c1df8507acc2804dfeaf47c2c1c1dd2c72987fc1f5c	0a1fb6b5f03b86a524c51567f49ee438bc2ea852c3f0387de31024e973783ec5
